Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Profit/Loss
Eega,S. S. Rajamouli,M. M. Keeravani,30,Yes,292124,3500,97
Gabbar Singh (film),Harish Shankar,Devi Sri Prasad,30,Yes,1310972,40000,71
Racha (film),Sampath Nandi,Mani Sharma,40,Yes,426623,1200,11
Businessman (film),Puri Jagannadh,S. Thaman,40,Yes,942385,25000,50
Julayi,Trivikram Srinivas,Devi Sri Prasad,35,Yes,392610,2800,32
Cameraman Gangatho Rambabu,Puri Jagannadh,Mani Sharma,25,Yes,934260,4500,27
Dammu,Boyapati Srinu,M. M. Keeravani,28,Yes,536485,3900,7
Ayyare,Saagar K. Chandra,Sunil Kashyap,65,No,11371,16,-31
Nippu,Gunasekhar,S. Thaman,5,Yes,48050,219,15
Poola Rangadu (2012 film),Veerabhadram Chowdary,Anup Rubens,32,No,136251,333,18
Nuvva Nena,Pendyala Veera Venkata Sathya Narayana,"Songs:
Bheems Ceciroleo
Background Score:
Mani Sharma",8,Yes,1281277,11000,1
Naa Ishtam,Prakash Tholeti,Chakri,3,No,177061,481,9.5
Lovely (2012 film),B. Jaya,Anup Rubens,5,No,1324427,30000,6
Neeku Naaku Dash Dash,Teja,Yaswanth Nag,4,No,11288,66,-1
Disco (2012 film),Hari K. Chanduri,Mantra Anand,7,No,4278303,148000,-3.5
Daruvu,Siva,Vijay Antony,20,Yes,319616,1300,5
Attarintiki Daredi,Trivikram Srinivas,Devi Sri Prasad,55,Yes,3388482,24000,132
Race Gurram,Surender Reddy,S. Thaman,52,Yes,603231,4200,50
1: Nenokkadine,Sukumar,Devi Sri Prasad,60,Yes,655788,5000,-35
Legend (2014 film),Boyapati Srinu,Devi Sri Prasad,35,Yes,3380436,139000,35
Manam (film),Vikram Kumar,Anup Rubens,28,Yes,2404898,11000,34
Aagadu,Srinu Vaitla,S. Thaman,65,Yes,367922,3200,-27
Yevadu,Vamshi Paidipally,Devi Sri Prasad,37,Yes,417442,4600,48
Govindudu Andarivadele,Krishna Vamsi,Yuvan Shankar Raja,30,Yes,183977,2000,11
Loukyam,Sriwass,Anoop Rubens,20,Yes,149718,779,2
Geethanjali (2014 film),Raj Kiran,Praveen Lakkaraju,6,No,700647,8100,34
Heart Attack (2014 film),Puri Jagannadh,Anup Rubens,15,No,932808,2600,25
Baahubali: The Beginning,S.S. Rajamouli,M. M. Keeravani,180,Yes,28537071,209000,920
Janatha Garage,Koratala Siva,Devi Sri Prasad,50,Yes,7696551,72000,90
Sarrainodu,Boyapati Srinu,S. Thaman,50,Yes,4675286,46000,80
Nannaku Prematho,Sukumar,Devi Sri Prasad,47,Yes,7467198,75000,40.2
Sardaar Gabbar Singh,K. S. Ravindra,Devi Sri Prasad,75,Yes,1130213,9900,11
Soggade Chinni Nayana,Kalyan Krishna Kurasala,Anup Rubens,20,Yes,1540715,14000,62.5
A Aa,Trivikram Srinivas,Mickey J Meyer,25,No,2955913,17000,13
Brahmotsavam (film),Srikanth Addala,"Mickey J. Meyer (Songs)
Gopi Sundar (Background Score)",75,Yes,3638732,24000,-12
Babu Bangaram,Maruthi,Ghibran,28,Yes,938237,4500,23
Express Raja,Merlapaka Gandhi,Praveen Lakkaraju,8,Yes,266910,2400,5
Soggade Chinni Nayana,Kalyan Krishna Kurasala,Anup Rubens,17,Yes,1540715,14000,65.5
Krishna Gaadi Veera Prema Gaadha,Hanu Raghavapudi,Vishal Chandrasekhar,13.2,Yes,44776,534,10.1
